Estuary,CoordA_X,CoordA_Y,CoordB_X,CoordB_Y
Adur,523477,104436,523629,104688
Alde_ore,637181,243215,637601,243697
Arun,502830,101146,502855,101218
Axe,325544,89733,325604,89714
Blythe_south,650583,274691,650634,274719
Bure,655192,292583,653409,303682
Camel,191532,78516,192306,80431
Coquet,427321,605074,427340,605171
Deben,632963,236981,633147,237561
Esk_east,489953,511708,489989,511706
Exe,297925,77998,302048,79506
Fowey,211878,50931,212228,50929
Great_ouse,557863,328317,558903,328474
Helford,179756,27793,180018,25118
Kingsbridge,274148,38866,274291,38711
Lune,344328,456851,344368,456293
Nene,549262,326727,549386,326682
Newtown_river,441572,91874,441753,91902
Otter,307705,81959,307748,81957
Ouse,544773,99941,545205,100129
Pagham,488007,96029,488062,96125
Parrett,321305,146355,327892,159361
Poole,403637,86752,403786,87021
Rother,594876,118179,594948,118220
Southampton,448915,102499,450640,103826
Stiffkey,590756,346070,600042,346702
Stour_kent,635327,161079,637050,164031
Thames,597738,187743,601987,172532
Tyne,438305,569074,438403,568718
Wansbeck,430317,585111,430318,585446
Wash_inner,540080,340914,564607,332814
Wear,440970,558336,441002,558225
Welland,537110,336564,537460,336144
Western_yar,435307,89844,435380,89836
Witham,539649,339137,539690,339294
Wootton_creek,455444,93212,455424,93019
Yealm,252746,47886,252597,47525
